purchase_id,product_id,customer_id,purchase_date,quantity
1,15,34,2024-08-21,4
2,20,43,2024-08-26,6
3,17,7,2024-08-26,7
4,7,43,2024-08-22,6
5,37,35,2024-08-23,4
6,10,35,2024-08-19,6
7,2,31,2024-08-06,6
8,1,5,2024-08-24,6
9,13,2,2024-08-03,7
10,40,13,2024-08-21,1
11,3,23,2024-08-19,6
12,27,48,2024-08-21,7
13,40,11,2024-08-25,7
14,1,24,2024-08-25,9
15,37,37,2024-08-31,2
16,26,34,2024-08-07,8
17,33,50,2024-08-31,1
18,2,42,2024-08-16,1
19,6,40,2024-08-11,8
20,11,12,2024-08-26,2
21,25,12,2024-08-16,6
22,33,15,2024-08-19,3
23,34,43,2024-08-17,2
24,11,48,2024-08-05,5
25,3,39,2024-08-19,4
26,49,33,2024-08-09,8
27,2,46,2024-08-06,8
28,8,15,2024-08-14,8
29,23,6,2024-08-22,4
30,19,29,2024-08-10,9
31,49,1,2024-08-25,7
32,5,34,2024-08-28,5
33,48,12,2024-08-04,5
34,12,49,2024-08-18,9
35,46,1,2024-08-23,5
36,12,40,2024-08-07,10
37,39,9,2024-08-03,5
38,34,30,2024-08-17,3
39,42,43,2024-08-17,10
40,40,23,2024-08-25,8
41,10,13,2024-08-04,10
42,13,22,2024-08-24,3
43,4,25,2024-08-14,4
44,8,33,2024-08-20,8
45,17,27,2024-08-23,2
46,31,10,2024-08-26,3
47,21,1,2024-08-21,7
48,13,13,2024-08-11,7
49,42,15,2024-08-20,2
50,27,21,2024-08-16,2
51,39,22,2024-08-19,2
52,26,40,2024-08-01,5
53,2,6,2024-08-17,5
54,38,6,2024-08-03,9
55,1,27,2024-08-24,9
56,33,20,2024-08-25,3
57,28,35,2024-08-24,7
58,15,26,2024-08-18,3
59,6,43,2024-08-11,5
60,8,29,2024-08-22,2
61,46,35,2024-08-02,1
62,14,12,2024-08-28,2
63,14,8,2024-08-30,8
64,13,48,2024-08-26,2
65,40,16,2024-08-08,1
66,25,45,2024-08-23,3
67,47,7,2024-08-25,3
68,17,41,2024-08-11,10
69,22,36,2024-08-19,3
70,48,1,2024-08-06,4
71,35,27,2024-08-07,1
72,16,17,2024-08-30,4
73,31,25,2024-08-25,2
74,37,8,2024-08-29,4
75,43,15,2024-08-06,2
76,34,15,2024-08-26,2
77,22,19,2024-08-06,4
78,41,23,2024-08-19,8
79,5,24,2024-08-17,1
80,10,21,2024-08-23,7
81,1,23,2024-08-02,7
82,4,21,2024-08-11,1
83,42,41,2024-08-26,8
84,19,46,2024-08-15,6
85,37,49,2024-08-09,8
86,32,10,2024-08-11,9
87,19,26,2024-08-17,2
88,7,41,2024-08-31,9
89,36,45,2024-08-08,4
90,11,3,2024-08-14,1
91,30,43,2024-08-22,7
92,20,22,2024-08-26,3
93,12,20,2024-08-17,6
94,43,9,2024-08-05,8
95,30,27,2024-08-21,8
96,37,47,2024-08-13,9
97,38,14,2024-08-21,1
98,40,11,2024-08-28,3
99,12,23,2024-08-22,8
100,36,14,2024-08-03,5
101,4,17,2024-08-19,8
102,27,4,2024-08-27,8
103,24,50,2024-08-21,3
104,37,26,2024-08-29,2
105,11,2,2024-08-11,5
106,21,3,2024-08-13,9
107,32,42,2024-08-15,4
108,21,5,2024-08-18,9
109,6,50,2024-08-04,6
110,15,6,2024-08-01,8
111,48,21,2024-08-05,7
112,17,29,2024-08-20,9
113,40,21,2024-08-05,8
114,2,42,2024-08-16,7
115,3,43,2024-08-31,10
116,32,42,2024-08-21,2
117,7,18,2024-08-22,2
118,16,13,2024-08-09,7
119,11,29,2024-08-27,9
120,13,27,2024-08-07,7
121,43,39,2024-08-03,8
122,21,11,2024-08-16,4
123,15,20,2024-08-15,6
124,27,9,2024-08-28,5
125,15,29,2024-08-13,3
126,29,50,2024-08-28,10
127,15,22,2024-08-14,8
128,9,1,2024-08-28,10
129,41,30,2024-08-06,3
130,10,21,2024-08-27,10
131,25,7,2024-08-13,6
132,12,11,2024-08-03,8
133,13,32,2024-08-05,7
134,44,28,2024-08-17,8
135,13,4,2024-08-01,2
136,6,32,2024-08-28,8
137,9,9,2024-08-05,7
138,9,6,2024-08-28,9
139,10,48,2024-08-17,2
140,12,35,2024-08-24,10
141,48,11,2024-08-21,2
142,3,24,2024-08-25,9
143,43,25,2024-08-05,1
144,37,14,2024-08-22,5
145,32,34,2024-08-25,2
146,7,3,2024-08-25,6
147,5,50,2024-08-20,4
148,33,38,2024-08-20,6
149,33,5,2024-08-25,2
150,18,2,2024-08-07,2
151,16,3,2024-08-09,3
152,21,38,2024-08-07,7
153,14,22,2024-08-27,3
154,18,25,2024-08-06,8
155,28,6,2024-08-10,9
156,22,31,2024-08-10,5
157,31,30,2024-08-28,1
158,24,8,2024-08-05,1
159,21,41,2024-08-07,10
160,36,10,2024-08-02,6
161,8,16,2024-08-04,1
162,27,46,2024-08-17,2
163,1,47,2024-08-16,7
164,43,10,2024-08-13,9
165,8,20,2024-08-30,6
166,18,13,2024-08-03,3
167,46,30,2024-08-09,7
168,32,14,2024-08-07,5
169,13,35,2024-08-23,4
170,7,14,2024-08-20,1
171,36,19,2024-08-29,3
172,44,5,2024-08-17,3
173,39,21,2024-08-15,2
174,33,2,2024-08-28,8
175,21,15,2024-08-07,5
176,37,4,2024-08-07,8
177,13,26,2024-08-21,9
178,29,42,2024-08-04,9
179,7,1,2024-08-23,9
180,48,35,2024-08-19,1
181,20,12,2024-08-14,7
182,9,15,2024-08-13,5
183,45,16,2024-08-02,3
184,4,28,2024-08-08,6
185,27,40,2024-08-05,2
186,21,7,2024-08-03,8
187,38,31,2024-08-29,5
188,4,49,2024-08-09,2
189,16,43,2024-08-11,9
190,7,38,2024-08-09,1
191,31,10,2024-08-16,8
192,27,30,2024-08-03,9
193,30,37,2024-08-11,9
194,30,39,2024-08-22,4
195,45,4,2024-08-23,6
196,30,36,2024-08-07,10
197,45,19,2024-08-14,10
198,23,7,2024-08-05,1
199,16,14,2024-08-07,7
200,26,39,2024-08-27,10
201,7,39,2024-08-29,3
202,31,30,2024-08-04,1
203,39,48,2024-08-10,8
204,29,14,2024-08-12,10
205,24,35,2024-08-15,10
